# Frequncy nu in Hz, Model flux in nu F_nu in ergs / cm^2 / s
# nu                  sync                sync_radio          sync_wind           dust                ic_total            ic_sync             ic_dust             ic_cmb              
         6.48755e+18         9.49334e-09         9.72543e-41         9.49334e-09         0.00000e+00         6.48755e-22         6.48755e-22         6.48755e-22         6.48755e-22
         9.11447e+18         9.06101e-09         1.36634e-40         9.06101e-09         0.00000e+00         9.11447e-22         9.11447e-22         9.11447e-22         9.11447e-22
         1.28051e+19         8.65905e-09         1.91960e-40         8.65905e-09         0.00000e+00         1.28051e-21         1.28051e-21         1.28051e-21         1.28051e-21
         1.79901e+19         8.28223e-09         2.69688e-40         8.28223e-09         0.00000e+00         1.79901e-21         1.79901e-21         1.79901e-21         1.79901e-21
         2.52746e+19         7.82589e-09         3.78890e-40         7.82589e-09         0.00000e+00         2.52746e-21         2.52746e-21         2.52746e-21         2.52746e-21
         3.55088e+19         7.32802e-09         5.32309e-40         7.32802e-09         0.00000e+00         3.55088e-21         3.55088e-21         3.55088e-21         3.55088e-21
         4.98869e+19         6.82143e-09         7.47851e-40         6.82143e-09         0.00000e+00         4.98869e-21         4.98869e-21         4.98869e-21         4.98869e-21
         7.00870e+19         6.27179e-09         1.05067e-39         6.27179e-09         0.00000e+00         7.00870e-21         7.00870e-21         7.00870e-21         7.00870e-21
         9.84665e+19         5.61862e-09         1.47610e-39         5.61862e-09         0.00000e+00         9.84665e-21         9.84665e-21         9.84665e-21         9.84665e-21
         1.38337e+20         4.97549e-09         2.07380e-39         4.97549e-09         0.00000e+00         3.64683e-13         1.76487e-13         2.81532e-14         1.60043e-13
         1.94353e+20         4.36541e-09         2.91353e-39         4.36541e-09         0.00000e+00         4.55121e-13         2.17584e-13         3.57109e-14         2.01826e-13
         2.73050e+20         3.76883e-09         4.09327e-39         3.76883e-09         0.00000e+00         5.67029e-13         2.67921e-13         4.52959e-14         2.53812e-13
         3.83612e+20         3.23871e-09         5.75070e-39         3.23871e-09         0.00000e+00         7.04769e-13         3.29390e-13         5.74500e-14         3.17929e-13
         5.38944e+20         2.79759e-09         8.07927e-39         2.79759e-09         0.00000e+00         8.73337e-13         4.04445e-13         7.28596e-14         3.96032e-13
         7.57172e+20         2.41823e-09         1.13507e-38         2.41823e-09         0.00000e+00         1.07781e-12         4.95896e-13         9.23931e-14         4.89518e-13
         1.06376e+21         2.07053e-09         1.59468e-38         2.07053e-09         0.00000e+00         1.32296e-12         6.07151e-13         1.17143e-13         5.98670e-13
         1.49450e+21         1.77883e-09         2.24040e-38         1.77883e-09         0.00000e+00         1.61250e-12         7.42350e-13         1.48488e-13         7.21664e-13
         2.09965e+21         1.53481e-09         3.14757e-38         1.53481e-09         0.00000e+00         1.94773e-12         9.06305e-13         1.88150e-13         8.53280e-13
